station_id,station,lat,long
146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739
149,175 N Harvard St,42.363796,-71.129164
150,State Street at Channel Center,42.344137,-71.052608
151,Surface Rd at India St,42.358155,-71.052163
152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187
156,Somerville Hospital,42.39676495119988,-71.10237744305323
156,Somerville Hospital,42.390446216041305,-71.10856622457504
157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377
159,S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076
161,W Broadway at D St,42.3391085,-71.0514432
162,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225
163,The Lawn on D,42.344792,-71.044024
167,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664
169,Edwards Playground - Main St at Eden St,42.378965,-71.068607
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347
171,Bunker Hill Community College,42.37408991426522,-71.06905996799469
173,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539
174,Washington St at Brock St,42.3489528466951,-71.16031676530838
175,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761
176,Lesley University,42.38674802045056,-71.11901879310608
177,University Park,42.36264779118595,-71.10006093978882
178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567
179,MIT Vassar St,42.35560121327927,-71.10394477844238
180,Mt Auburn,42.37478628706384,-71.13320231437683
181,Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378
182,Museum of Science,42.36769018024484,-71.07116281986237
183,Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304
184,Sidney Research Campus/Erie Street at Waverly,42.35775309465199,-71.10393404960632
185,Third at Binney,42.36544486137399,-71.08277142047882
186,Congress St at Northern Ave,42.3481,-71.03764
187,Cypress St at Clark Playground,42.32784317478686,-71.1253622174263
188,Foss Park,42.39108438146733,-71.09039425849915
189,Kendall T,42.3624278429124,-71.08495473861694
190,Nashua Street at Red Auerbach Way,42.365673,-71.064263
191,Tappan St at Brookline Hills MBTA,42.331370168043215,-71.1268836054569
191,Tappan St at Brookline Hills MBTA,42.33295289698479,-71.12824756309236
192,Purchase St at Pearl St,42.354659,-71.053181
193,Brookline Town Hall,42.33376472623494,-71.12046446660315
